id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1405327220192978468,Room near SUNY Albany,32379616,Fabiola,,TENTH WARD,42.659903296506094,-73.78257397435888,Private room,44,28,0,,,5,363,0,
1405768102601327206,Historic Studio and Great Eats,382970529,Thomas,,SIXTH WARD,42.655450233068514,-73.76273815121087,Entire home/apt,81,2,7,2025-08-04,2.44,17,33,7,
1409646921435856252,Albany Getaway Near Brewery District,692671333,Paul,,FOURTH WARD,42.67225930444639,-73.7390519905538,Entire home/apt,92,2,1,2025-08-30,1,1,89,1,
1414503206938039174,Beautiful 1 bed apartment,477328400,Tyler,,SEVENTH WARD,42.648787315458335,-73.76675859025983,Entire home/apt,103,1,5,2025-08-31,1.53,1,361,5,
1415956224087762543,"Near All 
Downtown Albany Apartment",232589050,Lauren,,SECOND WARD,42.6456774,-73.7602082,Entire home/apt,90,1,13,2025-08-22,3.71,1,94,13,
1417686058428307591,Charming Historic Apartment,270608641,Enkelejda,,SIXTH WARD,42.65166,-73.76622,Entire home/apt,78,1,0,,,2,301,0,
1419803505997334256,Modern Historical Albany Living,51050977,Manuel P.,,NINTH WARD,42.6572643,-73.7769051,Entire home/apt,144,7,0,,,2,312,0,
1429997390383679972,Downtown Albany • Hot Tub • Game Room • eV Charger,71003491,Yasiel,,THIRD WARD,42.65665,-73.74868,Entire home/apt,,2,5,2025-09-02,3.13,1,124,5,
1430417055174000914,Café Capriccio Suite,418024477,Marlene,,SECOND WARD,42.64619243272902,-73.75658877629596,Entire home/apt,,1,7,2025-08-18,3.00,1,156,7,
1432721201430838386,/Purple Potty\3bed1ba Apartment,52123673,Joseph,,THIRTEENTH WARD,42.669159851758046,-73.78528794056903,Entire home/apt,121,2,4,2025-08-31,2.45,3,345,4,
1432823196473666155,"Charming, Stylish Apt Downtown",531209536,Amar,,THIRD WARD,42.6579207870488,-73.75026566418697,Entire home/apt,107,7,0,,,2,270,0,
1434108183586713709,Albany Comfy Suite Next to Downtown with Breakfast,466790114,Zohar,,ELEVENTH WARD,42.682246872011966,-73.78338389658927,Entire home/apt,47,1,10,2025-09-04,3.26,22,365,10,
